Age,Age_Error,C4_recon_mean,C4_recon_lower,C4_recon_upper
1,0.002,59.2,36.7,81.6
2,0.001,36.6,11.8,61.3
2.5,0.008,36,11.2,60.8
2.8,0.005,35.4,10.5,60.2
2.8,0.013,21.8,0,48.1
3,0.005,38.8,14.3,63.3
3.2,0.003,28.8,3.3,54.3
3.4,0.002,23,0,49.1
3.5,0.007,26.7,1,52.5
3.6,0.007,16.2,0,43.1
3.8,0.033,18.2,0,44.8
4.2,0.014,16.3,0,43.1
4.5,0.017,14.2,0,41.2
4.9,0.006,19.2,0,45.7
5,0.012,15.6,0,42.5
5.2,0.012,16.1,0,43
5.7,0.005,14.3,0,41.3
5.8,0.013,14.7,0,41.7
6,0.012,11.2,0,38.5
6.5,0.017,12,0,39.2
6.8,0.01,9.2,0,36.7
7.3,0.017,9.9,0,37.4
8,0.017,13.4,0,40.5
8.1,0.009,10.5,0,37.9
8.8,0.056,14.3,0,41.3
9.5,0.006,29.6,4.2,55.1