Taxon,HI,HI_Source,Diet_Guild,Guild_Source,Alt_Diet_Guild
Baringa_nelsonensis,1.325948038,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Baringa_sp_indet,1.139568249,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Bohra_bandharr,1.011976048,Couzens & Prideaux 2018,Unknown,NA,NA
Bohra_illuminata,0.937313433,Couzens & Prideaux 2018,Unknown,NA,NA
Bohra_nullarbora,1.07229131,Couzens & Prideaux 2018,Unknown,NA,NA
Bohra_sp_indet,1.223463687,Couzens & Prideaux 2018,Unknown,NA,NA
Bohra_wilkinsonorum_cf,0.767922236,Couzens & Prideaux 2018,Unknown,NA,NA
Congruus_indra,0.8528,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Congruus_sp_indet,1.235294118,Couzens & Prideaux 2018,Unknown,NA,NA
Dendrolagus_bennettianus,1.011588659,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Dendrolagus_dorianus,0.94,Janis 1990,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Dendrolagus_goodfellowi,0.85,Janis 1990,Browser,Janis 1990; Arman & Prideaux 2015,NA
Dendrolagus_inustus,0.889990907,Couzens & Prideaux 2018,Browser,Janis et al. 2016,NA
Dendrolagus_lumholtzi,0.934272014,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Dendrolagus_matschiei,0.91,Janis 1990,Browser,Janis 1990; Janis et al. 2016,NA
Dendrolagus_ursinus,0.8,Janis 1990,Browser,Janis 1990,NA
Dorcopsis_hageni,0.88,Janis 1990,Browser,Janis 1990; Janis et al. 2016,NA
Dorcopsis_luctosa,1.072653077,Couzens & Prideaux 2018,Browser,Groves & Flannery 1989,NA
Dorcopsis_muelleri,1.195599022,Couzens & Prideaux 2018,Browser,Janis et al. 2016,NA
Dorcopsis_sp_indet,0.983796296,Couzens & Prideaux 2018,Browser,NA,NA
Dorcopsis_veterum,1.02,Janis 1990,Browser,Janis 1990,NA
Dorcopsoides_fossilis,0.755431404,Couzens & Prideaux 2018,Browser,NA,NA
Dorcopsulus_macleayi,0.92,Janis 1990,Unknown,Janis 1990; Janis et al. 2016,NA
Dorcopsulus_vanheurni,0.97930398,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016,NA
Kurrabi_mahoneyi,1.433121019,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Kurrabi_merriwaensis,1.161290323,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Kurrabi_merriwaensis_cf,1.081874848,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Kurrabi_pelchenorum,0.967104207,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Kurrabi_sp_indet,1.078305624,Couzens & Prideaux 2018,Unknown,NA,NA
Lagorchestes_cf_sp_indet,1.114583333,Couzens & Prideaux 2018,Mixed_Feeder,NA,NA
Lagorchestes_conspicillatus,1.137810748,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990 (Browser); Janis et al. 2016; Arman & Prideaux 2015,Browser
Lagorchestes_hirsutus,1.204778597,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990 (Browser); Janis et al. 2016; Arman & Prideaux 2015,Browser
Lagostrophus_fasciatus,1.16,Janis 1990,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Macropus_agilis,1.169200544,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015 (Grazer),Grazer
Macropus_antilopinus,1.23,Janis 1990,Grazer,Janis 1990 (Mixed_Feeder); Janis et al. 2016; Arman & Prideaux 2015,Mixed_Feeder
Macropus_bernardus,1.12,Janis 1990,Grazer,Janis 1990 (Browser); Arman & Prideaux 2015,Browser
Macropus_cf_sp_indet,1.092269327,Couzens & Prideaux 2018,Unknown,NA,NA
Macropus_dorsalis,1.2,Janis 1990,Grazer,Janis 1990; Janis et al. 2016 (Mixed_Feeder); Arman & Prideaux 2015,Mixed_Feeder
Macropus_dryas,1.039570347,Couzens & Prideaux 2018,Mixed_Feeder,Dawson 2006 (Pliocene),NA
Macropus_dryas_cf,1.172607749,Couzens & Prideaux 2018,Mixed_Feeder,Dawson 2006 (Pliocene),NA
Macropus_eugenii,1.110947776,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Macropus_ferragus,1.045008183,Couzens & Prideaux 2018,Unknown,Dawson 2006,NA
Macropus_ferragus_cf,1.175682163,Couzens & Prideaux 2018,Unknown,Dawson 2006,NA
Macropus_fuliginosus,1.36304428,Couzens & Prideaux 2018,Grazer,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Macropus_giganteus,1.33,Janis 1990,Grazer,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Macropus_greyi,1.25,Janis 1990,Mixed_Feeder,Janis 1990,NA
Macropus_irma,1.1372544,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Macropus_parma,1.317604158,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990 (Grazer); Arman & Prideaux 2015,Grazer
Macropus_parryi,1.347574416,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Macropus_pavana,1.182351106,Couzens & Prideaux 2018,Unknown,Dawson 2006 (Grazer in Pliocene),NA
Macropus_pearsoni,1.399824987,Couzens & Prideaux 2018,Grazer,Dawson 2006,NA
Macropus_robustus,1.241800252,Couzens & Prideaux 2018,Grazer,Janis 1990 (Mixed_Feeder); Janis et al. 2016; Arman & Prideaux 2015,Mixed_Feeder
Macropus_rufogriseus,1.35,Janis 1990,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Macropus_rufus,1.397882544,Couzens & Prideaux 2018,Grazer,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Macropus_sp_indet,1.293199605,Couzens & Prideaux 2018,Unknown,NA,NA
Macropus_woodsi_cf,1.181472081,Couzens & Prideaux 2018,Grazer,Dawson 2006,NA
Onychogalea_fraenata,1.5,Janis 1990,Mixed_Feeder,Janis 1990; Arman & Prideaux 2015,NA
Onychogalea_unguifera,1.26947313,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Peradorcas_concinna,1.222222222,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Arman & Prideaux 2015,NA
Petrogale_assimilis,1.166747863,Couzens & Prideaux 2018,Mixed_Feeder,Arman & Prideaux 2015,NA
Petrogale_brachyotis,1.007425743,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Petrogale_cf_sp_indet,1.05342438,Couzens & Prideaux 2018,Unknown,NA,NA
Petrogale_godmani,1.82,Janis 1990,Mixed_Feeder,Janis 1990; Janis et al. 2016,NA
Petrogale_inornata,1.65,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016,NA
Petrogale_lateralis,1.207625706,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016,NA
Petrogale_penicillata,1.285883458,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Arman & Prideaux 2015,NA
Petrogale_purpureicollis,1.82,Petrogale godmani,Mixed_Feeder,NA,NA
Petrogale_rothschildi,1.4,Janis 1990,Mixed_Feeder,Janis 1990,NA
Petrogale_sp_indet,1.180091838,Couzens & Prideaux 2018,Unknown,NA,NA
Petrogale_sp_nov1,1.112616588,Couzens & Prideaux 2018,Unknown,NA,NA
Petrogale_sp_nov2,1.165477517,Couzens & Prideaux 2018,Unknown,NA,NA
Petrogale_xanthopus,1.21,Janis 1990,Mixed_Feeder,Janis 1990; Arman & Prideaux 2015,NA
Prionotemnus_palankarinnicus,1.022154294,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Prionotemnus_palankarinnicus_cf,1.057139008,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_anak,1.086956522,Protemnodon snewini,Browser,Dawson 2006,NA
Protemnodon_buloloensis,0.886612022,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_cf_sp_indet,1.081534772,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_devisi_cf,0.895278013,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_snewini,1.086956522,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Protemnodon_sp_indet,1.056727403,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Setonix_brachyurus,1.019671639,Couzens & Prideaux 2018,Browser,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Thylogale_billardierii,1.123133143,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Thylogale_billardierii_cf,1.327977044,Couzens & Prideaux 2018,Unknown,NA,NA
Thylogale_brunii,1,Janis 1990,Mixed_Feeder,Janis et al. 2016,NA
Thylogale_ignis,1.117206983,Couzens & Prideaux 2018,Browser,Dawson 2006,NA
Thylogale_ignis_cf,1.06601467,Couzens & Prideaux 2018,Mixed_Feeder,Dawson 2006,NA
Thylogale_sp_indet,1.035390145,Couzens & Prideaux 2018,Unknown,NA,NA
Thylogale_stigmatica,1.189571454,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Thylogale_thetis,1.165237908,Couzens & Prideaux 2018,Mixed_Feeder,Janis 1990; Janis et al. 2016; Arman & Prideaux 2015,NA
Wallabia_bicolor,1.121882601,Couzens & Prideaux 2018,Browser,Janis 1990 (Mixed_Feeder); Janis et al. 2016; Arman & Prideaux 2015 (Mixed_Feeder),Mixed_Feeder
Wallabia_sp_indet,1.239669421,Couzens & Prideaux 2018,Browser,Janis 1990 (Mixed_Feeder); Janis et al. 2016; Arman & Prideaux 2015 (Mixed_Feeder),Mixed_Feeder